"OrganismCode","IEPFishCode","CommonName","NonNative","Phylum","Class","Order","Family","Genus","Species","Active"
"JSM","JACKSM","jacksmelt","no","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis","californiensis","1"
"KOS","KOKANE","kokanee salmon","yes","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","nerka","0"
"KSP","KELPER","kelp perch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","0"
"LAM","UNILAM","lamprey unknown",NA,"Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra",NA,"1"
"LFS","LONSME","longfin smelt","no","Chordata","Actinopterygii","Salmoniformes","Osmeridae","Spirinchus","thaleichthys","1"
"LIC","LINGCO","lingcod","no","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","0"
"LMB","LARBAS","largemouth bass","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus","salmoides","1"
"LMS","LONMUD","longjaw mudsucker","no","Chordata","Actinopterygii","Perciformes","Gobiidae","Gillichthys","mirabilis","1"
"LP","BIGLOG","bigscale logperch","yes","Chordata","Actinopterygii","Perciformes","Percidae","Percina","macrolepida","1"
"LPS","LEOSHA","leopard shark","no","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis","semifasciata","1"
"MIN","UNICYP","minnow unknown",NA,"Chordata","Actinopterygii","Cypriniformes","Cyprinidae",NA,NA,"1"
"MMARGI",NA,"Maeotias marginata","yes","Cnidaria","Hydrozoa","Limnomedusae","Olindiidae","Maeotias","marginata","1"
"MOERIS",NA,"Moerisia sp.","no","Cnidaria","Hydrozoa","Anthomedusae","Moerisiidae","Moerisia","sp.","1"
"MQF","WESMOS","western mosquitofish","yes","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia","affinis","1"
"MSS","INLSIL","inland silverside","yes","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia","beryllina","1"
"NAN","NORANC","northern anchovy","no","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","1"
"NOFISH","NOCATC","no catch",NA,NA,NA,NA,NA,NA,NA,"1"
"NPK","NORPIK","northern pike","yes","Chordata","Actinopterygii","Esociformes","Esocidae","Esox","lucius","0"
"NSM","NIGSME","night smelt","no","Chordata","Actinopterygii","Salmoniformes","Osmeridae","Spirinchus","starksi","0"
"ORSH",NA,"oriental shrimp","yes","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","macrodactylus","1"
"OSH",NA,"opossum shrimp","no","Arthropoda","Eumalacostraca","Mysidacea","Mysidae","Antromysis","cenotensis","0"
"OSM",NA,"Unknown Osmeridae smelt",NA,NA,NA,NA,"Osmeridae",NA,NA,"1"
"PAH","PACHER","Pacific herring","no","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","pallasii","1"
"PBACHE",NA,"comb jelly","no","Ctenophora","Tentaculata","Cydippida","Pleurobrachiidae","Pleurobrachia","bachei","1"
"PBL","WESBLA","western brook lamprey","no","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","richardsoni","0"
"PBU","PACPOM","Pacific pompano","no","Chordata","Actinopterygii","Perciformes","Stromateidae","Peprilus","simillimus","0"
"PCAMTS",NA,"egg yolk jelly","no","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Phacellophora","camtschatica","1"
"PCH","UNIPER","perch unknown",NA,"Chordata","Actinopterygii","Perciformes","Percidae",NA,NA,"0"
"PCOLOR",NA,"purple-striped jelly","no","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Pelagia","colorata","1"
"PELR","PACERA","Pacific electric ray","no","Chordata","Chondrichthyes","Rajiformes","Torpedinidae","Torpedo","californica","0"
"PHA","PACHAL","Pacific halibut","no","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","stenolepis","0"
"PHAP",NA,"penicillate jellyfish other","no","Cnidaria","Hydrozoa","Anthoathecatae","Polyorchidae","Polyorchis","haplus","1"
"PKS","PINSAL","pink salmon","yes","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","gorbuscha","0"
"PL","PACLAM","Pacific lamprey","no","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","tridentata","1"
"PLC",NA,"Vermiculated Sailfin Catfish","yes","Chordata","Actinopterygii","Siluriformes","Loricariidae","Pterygoplichthys","disjunctivus","1"
"PMP","PLAMID","plainfin midshipman","no","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","notatus","1"
